jentik	jentik-jentik mosquito larva.
kalimat	sentence, independent clause. kalimat-ingkar negative sentence. kalimat-majemuk setara compound sentence. kalimat-majemuk bertingkat complex sentence. kalimat-penjelas declarative sentence.
kalingan	(java) partially hidden, with obstructed view.
kalio	see klio.
kalis	1 dull, lacking luster (of a surface). 2 immune to disease, not allowing air, water, or some other extraneous substance to penetrate. 3 pure.
kalium	potassium.
kalkarim	/kalkarium/ wallpaint.
kalkir	meng-kalkir trace s.t. over s.t.
kalkulasi	calculation.
kalkulator	calculator.
kalkulir	meng-kalkulir calculate.
kalkun	turkey.
kalo	1. strainer. 2. kalo, kalok see kalau.
kalong	see keluang.
kalor	(phys.) heat.
kalori	calorie.
kalpataruh	1 (lit.) k.o. mythological tree that never dies. 2 annual prize awarded to o. who has made an outstanding contribution to preserving the environment.
kalsel	[kalimantan selatan] south kalimantan.
kalselteng	[kalimantan selatan dan tengah] south and central borneo.
kalsium	calcium.
kalteng	[kalimantan tengah] central borneo.
kaltim	[kalimantan timur] east borneo.
kalu	see kalau.
kalui	k.o. fish, gurami.
kalung	necklace.
kalurahan	see lurah 1.
kalut	confused, chaotic.
kalwan	(astr.) uranus.
kam	internment or prison camp.
kama	(lit.) love, passion.
kamadean	parasite.
kamar	1. room, chamber. 2. (lit.) moon. 3. ornamental sash around the waist, cummerbund.
kamariah	pertaining to the moon.
kamat	1. (islam) the call to begin prayer. 2. k.o. tree.
kambang	see ambang 2.
kambar	k.o. large sea turtle.
kambeh	gourd.
kambek	1 make a comeback. 2 (coll.) be reconciled (of lovers).
kambeli	k.o. woolen fabric.
kambi	1 rib, frame. 2 peneling, winscoting.
kambing	goat. kambing-domba sheep. meng-kambing-hitamkan place the blame on, make the scapegoat.
kamboja	k.o. tree, frangipani.
kambrat	1 comrade. 2 accomplice, party to a crime. 3 small party, get together.
kambuh	have or suffer a relapse.
kambus	blocked, stopped up (of drain).
kambut	k.o. woven basket.
kamera	camera.
